R_PPI AIMed_d30 0 *EMPTY*-*EMPTY* token:Isolation|NN|O|-3|-9|root|0 token:of|IN|O|-2|-8|case|3 token:human|JJ|O|-1|-7|amod|3 token:delta-catenin|NN|P1|0|-6|nmod:of|0 token:and|CC|O|1|-5|cc|0 token:its|PRP$|O|2|-4|nmod:poss|7 token:binding|NN|O|3|-3|compound|7 token:specificity|NN|O|4|-2|conj:and|0 token:with|IN|O|5|-1|case|9 token:presenilin|NN|P2|6|0|nmod:with|7 token:1|CD|P2|7|0|nummod|9 token:.|.|O|8|1|| dep_token:delta-catenin|NN|P1|nmod:of|0 dep_token:Isolation|NN|O|root|0 dep_token:specificity|NN|O|conj:and|0 dep_token:presenilin|NN|P2|nmod:with|7 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:isol->conj:and->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->conj:and->w:specif->nmod:with->|GENE_2	Isolation of human <1>delta-catenin</1> and its binding specificity with <1>presenilin 1</1>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-8|-24|nsubj|12@3 token:that|WDT|O|-7|-23|ref|0 token:could|MD|O|-6|-22|aux|3 token:compete|VB|O|-5|-21|acl:relcl|0 token:with|IN|O|-4|-20|case|6 token:high|JJ|O|-3|-19|amod|6 token:affinity|NN|O|-2|-18|nmod:with|3 token:for|IN|O|-1|-17|case|9 token:MIP-1beta|NN|P1|0|-16|compound|9 token:binding|NN|O|1|-15|nmod:for|3 token:could|MD|O|2|-14|aux|12 token:also|RB|O|3|-13|advmod|12 token:compete|VB|O|4|-12|root|12 token:for|IN|O|5|-11|case|16 token:monomeric|JJ|O|6|-10|amod|16 token:gp120|NN|P|7|-9|compound|16 token:binding|NN|O|8|-8|nmod:for|12 token:,|,|O|9|-7|| token:although|IN|O|10|-6|advmod|12 token:with|IN|O|11|-5|case|21 token:variable|JJ|O|12|-4|amod|21 token:potencies|NNS|O|13|-3|nmod:with|18 token:;|:|O|14|-2|| token:maximal|JJ|O|15|-1|amod|26 token:gp120|NN|P2|16|0|compound|26 token:binding|NN|O|17|1|compound|26 token:inhibition|NN|O|18|2|nsubj|29 token:was|VBD|O|19|3|cop|29 token:80|CD|O|20|4|nummod|29 token:%|NN|O|21|5|parataxis|12 token:for|IN|O|22|6|case|31 token:MCP-2|NN|P|23|7|nmod:for|29 token:,|,|O|24|8|| token:but|CC|O|25|9|cc|34 token:only|RB|O|26|10|cc|29 token:30|CD|O|27|11|nummod|36 token:%|NN|O|28|12|conj:only@parataxis|12@29 token:for|IN|O|29|13|case|38 token:MIP-1beta|NN|P|30|14|nmod:for|36 token:.|.|O|31|15|| dep_token:MIP-1beta|NN|P1|compound|9 dep_token:binding|NN|O|nmod:for|3 dep_token:compete|VB|O|acl:relcl|0 dep_token:Chemokines|NNS|O|nsubj|12@3 dep_token:compete|VB|O|root|12 dep_token:%|NN|O|parataxis|12 dep_token:inhibition|NN|O|nsubj|29 dep_token:gp120|NN|P2|compound|26 dep_path_len:7 lex_dep_path:GENE_1|<-compound<-w:bind<-nmod:for<-nsubj<-__->nsubj->parataxis->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-w:compet<-nsubj<-__->nsubj->parataxis->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->w:chemokin->parataxis->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-w:compet<-__->nsubj->parataxis->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->parataxis->w:%->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->parataxis->nsubj->w:inhibit->compound->|GENE_2	Chemokines that could compete with high affinity for <1>MIP-1beta</1> binding could also compete for monomeric <0>gp120</0> binding, although with variable potencies; maximal <1>gp120</1> binding inhibition was 80% for <0>MCP-2</0>, but only 30% for <0>MIP-1beta</0>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-8|-31|nsubj|12@3 token:that|WDT|O|-7|-30|ref|0 token:could|MD|O|-6|-29|aux|3 token:compete|VB|O|-5|-28|acl:relcl|0 token:with|IN|O|-4|-27|case|6 token:high|JJ|O|-3|-26|amod|6 token:affinity|NN|O|-2|-25|nmod:with|3 token:for|IN|O|-1|-24|case|9 token:MIP-1beta|NN|P1|0|-23|compound|9 token:binding|NN|O|1|-22|nmod:for|3 token:could|MD|O|2|-21|aux|12 token:also|RB|O|3|-20|advmod|12 token:compete|VB|O|4|-19|root|12 token:for|IN|O|5|-18|case|16 token:monomeric|JJ|O|6|-17|amod|16 token:gp120|NN|P|7|-16|compound|16 token:binding|NN|O|8|-15|nmod:for|12 token:,|,|O|9|-14|| token:although|IN|O|10|-13|advmod|12 token:with|IN|O|11|-12|case|21 token:variable|JJ|O|12|-11|amod|21 token:potencies|NNS|O|13|-10|nmod:with|18 token:;|:|O|14|-9|| token:maximal|JJ|O|15|-8|amod|26 token:gp120|NN|P|16|-7|compound|26 token:binding|NN|O|17|-6|compound|26 token:inhibition|NN|O|18|-5|nsubj|29 token:was|VBD|O|19|-4|cop|29 token:80|CD|O|20|-3|nummod|29 token:%|NN|O|21|-2|parataxis|12 token:for|IN|O|22|-1|case|31 token:MCP-2|NN|P2|23|0|nmod:for|29 token:,|,|O|24|1|| token:but|CC|O|25|2|cc|34 token:only|RB|O|26|3|cc|29 token:30|CD|O|27|4|nummod|36 token:%|NN|O|28|5|conj:only@parataxis|12@29 token:for|IN|O|29|6|case|38 token:MIP-1beta|NN|P|30|7|nmod:for|36 token:.|.|O|31|8|| dep_token:MIP-1beta|NN|P1|compound|9 dep_token:binding|NN|O|nmod:for|3 dep_token:compete|VB|O|acl:relcl|0 dep_token:Chemokines|NNS|O|nsubj|12@3 dep_token:compete|VB|O|root|12 dep_token:%|NN|O|parataxis|12 dep_token:MCP-2|NN|P2|nmod:for|29 dep_path_len:6 lex_dep_path:GENE_1|<-compound<-w:bind<-nmod:for<-nsubj<-__->nsubj->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-w:compet<-nsubj<-__->nsubj->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->w:chemokin->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-w:compet<-__->nsubj->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->parataxis->w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <1>MIP-1beta</1> binding could also compete for monomeric <0>gp120</0> binding, although with variable potencies; maximal <0>gp120</0> binding inhibition was 80% for <1>MCP-2</1>, but only 30% for <0>MIP-1beta</0>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-8|-38|nsubj|12@3 token:that|WDT|O|-7|-37|ref|0 token:could|MD|O|-6|-36|aux|3 token:compete|VB|O|-5|-35|acl:relcl|0 token:with|IN|O|-4|-34|case|6 token:high|JJ|O|-3|-33|amod|6 token:affinity|NN|O|-2|-32|nmod:with|3 token:for|IN|O|-1|-31|case|9 token:MIP-1beta|NN|P1|0|-30|compound|9 token:binding|NN|O|1|-29|nmod:for|3 token:could|MD|O|2|-28|aux|12 token:also|RB|O|3|-27|advmod|12 token:compete|VB|O|4|-26|root|12 token:for|IN|O|5|-25|case|16 token:monomeric|JJ|O|6|-24|amod|16 token:gp120|NN|P|7|-23|compound|16 token:binding|NN|O|8|-22|nmod:for|12 token:,|,|O|9|-21|| token:although|IN|O|10|-20|advmod|12 token:with|IN|O|11|-19|case|21 token:variable|JJ|O|12|-18|amod|21 token:potencies|NNS|O|13|-17|nmod:with|18 token:;|:|O|14|-16|| token:maximal|JJ|O|15|-15|amod|26 token:gp120|NN|P|16|-14|compound|26 token:binding|NN|O|17|-13|compound|26 token:inhibition|NN|O|18|-12|nsubj|29 token:was|VBD|O|19|-11|cop|29 token:80|CD|O|20|-10|nummod|29 token:%|NN|O|21|-9|parataxis|12 token:for|IN|O|22|-8|case|31 token:MCP-2|NN|P|23|-7|nmod:for|29 token:,|,|O|24|-6|| token:but|CC|O|25|-5|cc|34 token:only|RB|O|26|-4|cc|29 token:30|CD|O|27|-3|nummod|36 token:%|NN|O|28|-2|conj:only@parataxis|12@29 token:for|IN|O|29|-1|case|38 token:MIP-1beta|NN|P2|30|0|nmod:for|36 token:.|.|O|31|1|| dep_token:MIP-1beta|NN|P1|compound|9 dep_token:binding|NN|O|nmod:for|3 dep_token:compete|VB|O|acl:relcl|0 dep_token:Chemokines|NNS|O|nsubj|12@3 dep_token:compete|VB|O|root|12 dep_token:%|NN|O|conj:only@parataxis|12@29 dep_token:MIP-1beta|NN|P2|nmod:for|36 dep_path_len:6 lex_dep_path:GENE_1|<-compound<-w:bind<-nmod:for<-nsubj<-__->nsubj->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-w:compet<-nsubj<-__->nsubj->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->w:chemokin->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-w:compet<-__->nsubj->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-nsubj<-__->nsubj->parataxis->w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <1>MIP-1beta</1> binding could also compete for monomeric <0>gp120</0> binding, although with variable potencies; maximal <0>gp120</0> binding inhibition was 80% for <0>MCP-2</0>, but only 30% for <1>MIP-1beta</1>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-15|-24|nsubj|12@3 token:that|WDT|O|-14|-23|ref|0 token:could|MD|O|-13|-22|aux|3 token:compete|VB|O|-12|-21|acl:relcl|0 token:with|IN|O|-11|-20|case|6 token:high|JJ|O|-10|-19|amod|6 token:affinity|NN|O|-9|-18|nmod:with|3 token:for|IN|O|-8|-17|case|9 token:MIP-1beta|NN|P|-7|-16|compound|9 token:binding|NN|O|-6|-15|nmod:for|3 token:could|MD|O|-5|-14|aux|12 token:also|RB|O|-4|-13|advmod|12 token:compete|VB|O|-3|-12|root|12 token:for|IN|O|-2|-11|case|16 token:monomeric|JJ|O|-1|-10|amod|16 token:gp120|NN|P1|0|-9|compound|16 token:binding|NN|O|1|-8|nmod:for|12 token:,|,|O|2|-7|| token:although|IN|O|3|-6|advmod|12 token:with|IN|O|4|-5|case|21 token:variable|JJ|O|5|-4|amod|21 token:potencies|NNS|O|6|-3|nmod:with|18 token:;|:|O|7|-2|| token:maximal|JJ|O|8|-1|amod|26 token:gp120|NN|P2|9|0|compound|26 token:binding|NN|O|10|1|compound|26 token:inhibition|NN|O|11|2|nsubj|29 token:was|VBD|O|12|3|cop|29 token:80|CD|O|13|4|nummod|29 token:%|NN|O|14|5|parataxis|12 token:for|IN|O|15|6|case|31 token:MCP-2|NN|P|16|7|nmod:for|29 token:,|,|O|17|8|| token:but|CC|O|18|9|cc|34 token:only|RB|O|19|10|cc|29 token:30|CD|O|20|11|nummod|36 token:%|NN|O|21|12|conj:only@parataxis|12@29 token:for|IN|O|22|13|case|38 token:MIP-1beta|NN|P|23|14|nmod:for|36 token:.|.|O|24|15|| dep_token:gp120|NN|P1|compound|16 dep_token:binding|NN|O|nmod:for|12 dep_token:compete|VB|O|root|12 dep_token:%|NN|O|parataxis|12 dep_token:inhibition|NN|O|nsubj|29 dep_token:gp120|NN|P2|compound|26 dep_path_len:5 lex_dep_path:GENE_1|<-compound<-w:bind<-nmod:for<-__->parataxis->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-w:compet->parataxis->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-__->parataxis->w:%->nsubj->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-__->parataxis->nsubj->w:inhibit->compound->|GENE_2	Chemokines that could compete with high affinity for <0>MIP-1beta</0> binding could also compete for monomeric <1>gp120</1> binding, although with variable potencies; maximal <1>gp120</1> binding inhibition was 80% for <0>MCP-2</0>, but only 30% for <0>MIP-1beta</0>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-15|-31|nsubj|12@3 token:that|WDT|O|-14|-30|ref|0 token:could|MD|O|-13|-29|aux|3 token:compete|VB|O|-12|-28|acl:relcl|0 token:with|IN|O|-11|-27|case|6 token:high|JJ|O|-10|-26|amod|6 token:affinity|NN|O|-9|-25|nmod:with|3 token:for|IN|O|-8|-24|case|9 token:MIP-1beta|NN|P|-7|-23|compound|9 token:binding|NN|O|-6|-22|nmod:for|3 token:could|MD|O|-5|-21|aux|12 token:also|RB|O|-4|-20|advmod|12 token:compete|VB|O|-3|-19|root|12 token:for|IN|O|-2|-18|case|16 token:monomeric|JJ|O|-1|-17|amod|16 token:gp120|NN|P1|0|-16|compound|16 token:binding|NN|O|1|-15|nmod:for|12 token:,|,|O|2|-14|| token:although|IN|O|3|-13|advmod|12 token:with|IN|O|4|-12|case|21 token:variable|JJ|O|5|-11|amod|21 token:potencies|NNS|O|6|-10|nmod:with|18 token:;|:|O|7|-9|| token:maximal|JJ|O|8|-8|amod|26 token:gp120|NN|P|9|-7|compound|26 token:binding|NN|O|10|-6|compound|26 token:inhibition|NN|O|11|-5|nsubj|29 token:was|VBD|O|12|-4|cop|29 token:80|CD|O|13|-3|nummod|29 token:%|NN|O|14|-2|parataxis|12 token:for|IN|O|15|-1|case|31 token:MCP-2|NN|P2|16|0|nmod:for|29 token:,|,|O|17|1|| token:but|CC|O|18|2|cc|34 token:only|RB|O|19|3|cc|29 token:30|CD|O|20|4|nummod|36 token:%|NN|O|21|5|conj:only@parataxis|12@29 token:for|IN|O|22|6|case|38 token:MIP-1beta|NN|P|23|7|nmod:for|36 token:.|.|O|24|8|| dep_token:gp120|NN|P1|compound|16 dep_token:binding|NN|O|nmod:for|12 dep_token:compete|VB|O|root|12 dep_token:%|NN|O|parataxis|12 dep_token:MCP-2|NN|P2|nmod:for|29 dep_path_len:4 lex_dep_path:GENE_1|<-compound<-w:bind<-nmod:for<-__->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-w:compet->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-__->parataxis->w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <0>MIP-1beta</0> binding could also compete for monomeric <1>gp120</1> binding, although with variable potencies; maximal <0>gp120</0> binding inhibition was 80% for <1>MCP-2</1>, but only 30% for <0>MIP-1beta</0>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-15|-38|nsubj|12@3 token:that|WDT|O|-14|-37|ref|0 token:could|MD|O|-13|-36|aux|3 token:compete|VB|O|-12|-35|acl:relcl|0 token:with|IN|O|-11|-34|case|6 token:high|JJ|O|-10|-33|amod|6 token:affinity|NN|O|-9|-32|nmod:with|3 token:for|IN|O|-8|-31|case|9 token:MIP-1beta|NN|P|-7|-30|compound|9 token:binding|NN|O|-6|-29|nmod:for|3 token:could|MD|O|-5|-28|aux|12 token:also|RB|O|-4|-27|advmod|12 token:compete|VB|O|-3|-26|root|12 token:for|IN|O|-2|-25|case|16 token:monomeric|JJ|O|-1|-24|amod|16 token:gp120|NN|P1|0|-23|compound|16 token:binding|NN|O|1|-22|nmod:for|12 token:,|,|O|2|-21|| token:although|IN|O|3|-20|advmod|12 token:with|IN|O|4|-19|case|21 token:variable|JJ|O|5|-18|amod|21 token:potencies|NNS|O|6|-17|nmod:with|18 token:;|:|O|7|-16|| token:maximal|JJ|O|8|-15|amod|26 token:gp120|NN|P|9|-14|compound|26 token:binding|NN|O|10|-13|compound|26 token:inhibition|NN|O|11|-12|nsubj|29 token:was|VBD|O|12|-11|cop|29 token:80|CD|O|13|-10|nummod|29 token:%|NN|O|14|-9|parataxis|12 token:for|IN|O|15|-8|case|31 token:MCP-2|NN|P|16|-7|nmod:for|29 token:,|,|O|17|-6|| token:but|CC|O|18|-5|cc|34 token:only|RB|O|19|-4|cc|29 token:30|CD|O|20|-3|nummod|36 token:%|NN|O|21|-2|conj:only@parataxis|12@29 token:for|IN|O|22|-1|case|38 token:MIP-1beta|NN|P2|23|0|nmod:for|36 token:.|.|O|24|1|| dep_token:gp120|NN|P1|compound|16 dep_token:binding|NN|O|nmod:for|12 dep_token:compete|VB|O|root|12 dep_token:%|NN|O|conj:only@parataxis|12@29 dep_token:MIP-1beta|NN|P2|nmod:for|36 dep_path_len:4 lex_dep_path:GENE_1|<-compound<-w:bind<-nmod:for<-__->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-w:compet->parataxis->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:for<-__->parataxis->w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <0>MIP-1beta</0> binding could also compete for monomeric <1>gp120</1> binding, although with variable potencies; maximal <0>gp120</0> binding inhibition was 80% for <0>MCP-2</0>, but only 30% for <1>MIP-1beta</1>.
R_PPI AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-24|-31|nsubj|12@3 token:that|WDT|O|-23|-30|ref|0 token:could|MD|O|-22|-29|aux|3 token:compete|VB|O|-21|-28|acl:relcl|0 token:with|IN|O|-20|-27|case|6 token:high|JJ|O|-19|-26|amod|6 token:affinity|NN|O|-18|-25|nmod:with|3 token:for|IN|O|-17|-24|case|9 token:MIP-1beta|NN|P|-16|-23|compound|9 token:binding|NN|O|-15|-22|nmod:for|3 token:could|MD|O|-14|-21|aux|12 token:also|RB|O|-13|-20|advmod|12 token:compete|VB|O|-12|-19|root|12 token:for|IN|O|-11|-18|case|16 token:monomeric|JJ|O|-10|-17|amod|16 token:gp120|NN|P|-9|-16|compound|16 token:binding|NN|O|-8|-15|nmod:for|12 token:,|,|O|-7|-14|| token:although|IN|O|-6|-13|advmod|12 token:with|IN|O|-5|-12|case|21 token:variable|JJ|O|-4|-11|amod|21 token:potencies|NNS|O|-3|-10|nmod:with|18 token:;|:|O|-2|-9|| token:maximal|JJ|O|-1|-8|amod|26 token:gp120|NN|P1|0|-7|compound|26 token:binding|NN|O|1|-6|compound|26 token:inhibition|NN|O|2|-5|nsubj|29 token:was|VBD|O|3|-4|cop|29 token:80|CD|O|4|-3|nummod|29 token:%|NN|O|5|-2|parataxis|12 token:for|IN|O|6|-1|case|31 token:MCP-2|NN|P2|7|0|nmod:for|29 token:,|,|O|8|1|| token:but|CC|O|9|2|cc|34 token:only|RB|O|10|3|cc|29 token:30|CD|O|11|4|nummod|36 token:%|NN|O|12|5|conj:only@parataxis|12@29 token:for|IN|O|13|6|case|38 token:MIP-1beta|NN|P|14|7|nmod:for|36 token:.|.|O|15|8|| dep_token:gp120|NN|P1|compound|26 dep_token:inhibition|NN|O|nsubj|29 dep_token:%|NN|O|parataxis|12 dep_token:MCP-2|NN|P2|nmod:for|29 dep_path_len:3 lex_dep_path:GENE_1|<-compound<-w:inhibit<-nsubj<-__->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nsubj<-w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <0>MIP-1beta</0> binding could also compete for monomeric <0>gp120</0> binding, although with variable potencies; maximal <1>gp120</1> binding inhibition was 80% for <1>MCP-2</1>, but only 30% for <0>MIP-1beta</0>.
R_PPI AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-24|-38|nsubj|12@3 token:that|WDT|O|-23|-37|ref|0 token:could|MD|O|-22|-36|aux|3 token:compete|VB|O|-21|-35|acl:relcl|0 token:with|IN|O|-20|-34|case|6 token:high|JJ|O|-19|-33|amod|6 token:affinity|NN|O|-18|-32|nmod:with|3 token:for|IN|O|-17|-31|case|9 token:MIP-1beta|NN|P|-16|-30|compound|9 token:binding|NN|O|-15|-29|nmod:for|3 token:could|MD|O|-14|-28|aux|12 token:also|RB|O|-13|-27|advmod|12 token:compete|VB|O|-12|-26|root|12 token:for|IN|O|-11|-25|case|16 token:monomeric|JJ|O|-10|-24|amod|16 token:gp120|NN|P|-9|-23|compound|16 token:binding|NN|O|-8|-22|nmod:for|12 token:,|,|O|-7|-21|| token:although|IN|O|-6|-20|advmod|12 token:with|IN|O|-5|-19|case|21 token:variable|JJ|O|-4|-18|amod|21 token:potencies|NNS|O|-3|-17|nmod:with|18 token:;|:|O|-2|-16|| token:maximal|JJ|O|-1|-15|amod|26 token:gp120|NN|P1|0|-14|compound|26 token:binding|NN|O|1|-13|compound|26 token:inhibition|NN|O|2|-12|nsubj|29 token:was|VBD|O|3|-11|cop|29 token:80|CD|O|4|-10|nummod|29 token:%|NN|O|5|-9|parataxis|12 token:for|IN|O|6|-8|case|31 token:MCP-2|NN|P|7|-7|nmod:for|29 token:,|,|O|8|-6|| token:but|CC|O|9|-5|cc|34 token:only|RB|O|10|-4|cc|29 token:30|CD|O|11|-3|nummod|36 token:%|NN|O|12|-2|conj:only@parataxis|12@29 token:for|IN|O|13|-1|case|38 token:MIP-1beta|NN|P2|14|0|nmod:for|36 token:.|.|O|15|1|| dep_token:gp120|NN|P1|compound|26 dep_token:inhibition|NN|O|nsubj|29 dep_token:%|NN|O|parataxis|12 dep_token:%|NN|O|conj:only@parataxis|12@29 dep_token:MIP-1beta|NN|P2|nmod:for|36 dep_path_len:4 lex_dep_path:GENE_1|<-compound<-w:inhibit<-nsubj<-__->conj:only->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nsubj<-w:%->conj:only->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-compound<-nsubj<-__->conj:only->w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <0>MIP-1beta</0> binding could also compete for monomeric <0>gp120</0> binding, although with variable potencies; maximal <1>gp120</1> binding inhibition was 80% for <0>MCP-2</0>, but only 30% for <1>MIP-1beta</1>.
NONE AIMed_d37 8 *EMPTY*-*EMPTY* token:Chemokines|NNS|O|-31|-38|nsubj|12@3 token:that|WDT|O|-30|-37|ref|0 token:could|MD|O|-29|-36|aux|3 token:compete|VB|O|-28|-35|acl:relcl|0 token:with|IN|O|-27|-34|case|6 token:high|JJ|O|-26|-33|amod|6 token:affinity|NN|O|-25|-32|nmod:with|3 token:for|IN|O|-24|-31|case|9 token:MIP-1beta|NN|P|-23|-30|compound|9 token:binding|NN|O|-22|-29|nmod:for|3 token:could|MD|O|-21|-28|aux|12 token:also|RB|O|-20|-27|advmod|12 token:compete|VB|O|-19|-26|root|12 token:for|IN|O|-18|-25|case|16 token:monomeric|JJ|O|-17|-24|amod|16 token:gp120|NN|P|-16|-23|compound|16 token:binding|NN|O|-15|-22|nmod:for|12 token:,|,|O|-14|-21|| token:although|IN|O|-13|-20|advmod|12 token:with|IN|O|-12|-19|case|21 token:variable|JJ|O|-11|-18|amod|21 token:potencies|NNS|O|-10|-17|nmod:with|18 token:;|:|O|-9|-16|| token:maximal|JJ|O|-8|-15|amod|26 token:gp120|NN|P|-7|-14|compound|26 token:binding|NN|O|-6|-13|compound|26 token:inhibition|NN|O|-5|-12|nsubj|29 token:was|VBD|O|-4|-11|cop|29 token:80|CD|O|-3|-10|nummod|29 token:%|NN|O|-2|-9|parataxis|12 token:for|IN|O|-1|-8|case|31 token:MCP-2|NN|P1|0|-7|nmod:for|29 token:,|,|O|1|-6|| token:but|CC|O|2|-5|cc|34 token:only|RB|O|3|-4|cc|29 token:30|CD|O|4|-3|nummod|36 token:%|NN|O|5|-2|conj:only@parataxis|12@29 token:for|IN|O|6|-1|case|38 token:MIP-1beta|NN|P2|7|0|nmod:for|36 token:.|.|O|8|1|| dep_token:MCP-2|NN|P1|nmod:for|29 dep_token:%|NN|O|parataxis|12 dep_token:%|NN|O|conj:only@parataxis|12@29 dep_token:MIP-1beta|NN|P2|nmod:for|36 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:for<-w:%->conj:only->nmod:for->|GENE_2 lex_dep_path:GENE_1|<-nmod:for<-__->conj:only->w:%->nmod:for->|GENE_2	Chemokines that could compete with high affinity for <0>MIP-1beta</0> binding could also compete for monomeric <0>gp120</0> binding, although with variable potencies; maximal <0>gp120</0> binding inhibition was 80% for <1>MCP-2</1>, but only 30% for <1>MIP-1beta</1>.
R_PPI AIMed_d37 9 *EMPTY*-*EMPTY* token:MCP-3|NN|P1|0|-5|nsubj@nsubjpass|12@17@2 token:could|MD|O|1|-4|aux|2 token:compete|VB|O|2|-3|root|2 token:efficiently|RB|O|3|-2|advmod|2 token:for|IN|O|4|-1|case|6 token:gp120|NN|P2|5|0|compound|6 token:binding|NN|O|6|1|nmod:for|2 token:but|CC|O|7|2|cc|2 token:was|VBD|O|8|3|auxpass|12 token:,|,|O|9|4|| token:however|RB|O|10|5|advmod|12 token:,|,|O|11|6|| token:found|VBN|O|12|7|conj:but|2 token:to|TO|O|13|8|mark|17 token:be|VB|O|14|9|cop|17 token:a|DT|O|15|10|det|17 token:weak|JJ|O|16|11|amod|17 token:inhibitor|NN|O|17|12|xcomp|12 token:of|IN|O|18|13|case|20 token:HIV|NN|O|19|14|compound|20 token:infection|NN|O|20|15|nmod:of|17 token:,|,|O|21|16|| token:probably|RB|O|22|17|advmod|25 token:as|IN|O|23|18|case|25 token:a|DT|O|24|19|det|25 token:consequence|NN|O|25|20|nmod:as|17 token:of|IN|O|26|21|case|28 token:its|PRP$|O|27|22|nmod:poss|28 token:inability|NN|O|28|23|nmod:of|25 token:to|TO|O|29|24|mark|30 token:downregulate|VB|O|30|25|acl|28 token:the|DT|O|31|26|det|32 token:receptor|NN|O|32|27|dobj|30 token:.|.|O|33|28|| dep_token:MCP-3|NN|P1|nsubj@nsubjpass|12@17@2 dep_token:compete|VB|O|root|2 dep_token:binding|NN|O|nmod:for|2 dep_token:gp120|NN|P2|compound|6 dep_path_len:3 lex_dep_path:GENE_1|<-nsubj<-w:compet->nmod:for->compound->|GENE_2 lex_dep_path:GENE_1|<-nsubj<-__->nmod:for->w:bind->compound->|GENE_2	<1>MCP-3</1> could compete efficiently for <1>gp120</1> binding but was, however, found to be a weak inhibitor of HIV infection, probably as a consequence of its inability to downregulate the receptor.
NONE AIMed_d195 0 *EMPTY*-*EMPTY* token:Competitive|JJ|O|-3|-5|amod|1 token:binding|NN|O|-2|-4|root|1 token:of|IN|O|-1|-3|case|3 token:alpha-actinin|NN|P1|0|-2|nmod:of|1 token:and|CC|O|1|-1|cc|3 token:calmodulin|NN|P2|2|0|conj:and@nmod:of|1@3 token:to|TO|O|3|1|case|9 token:the|DT|O|4|2|det|9 token:NMDA|JJ|P|5|3|amod|9 token:receptor|NN|P|6|4|nmod:to|1 token:.|.|O|7|5|| dep_token:alpha-actinin|NN|P1|nmod:of|1 dep_token:calmodulin|NN|P2|conj:and@nmod:of|1@3 dep_path_len:1	Competitive binding of <1>alpha-actinin</1> and <1>calmodulin</1> to the <0>NMDA receptor</0>.
